// Вміст цього файлу націлений на використання в "*.rulePack.rulesStrings".

// Використання: 
//    <li>TalkTopicLight->[Animal]</li> -> <li>TalkTopicLight->{lookup: [Animal]; Rules; 1-12}}</li>
// Множина починається з 6-го індексу.
// Індекс 0 використовується для пошуку рядка. Його не потрібно використовувати.


// 0              ; 1             ; 2               ; 3               ; 4             ; 5              ; 6               ; 7              ;  8               ; 9                ; 10             ; 11              ;
// Називний однина; Родовий однина; Давальний однина; Знахідний однина; Орудний однина; Місцевий однина; Називний множина; Родовий множина; Давальний множина; Знахідний множина; Орудний множина; Місцевий множина;


// [Animals]
// 0            ; 1                ; 2                  ; 3                ; 4                ; 5                  ; 6              ; 7                ; 8                ; 9                ; 10                 ; 11               ;
цекропія        ; цекропії          ; цекропії          ; цекропію        ; цекропією         ; цекропії          ; цекропії        ; цекропій          ; цекропіям         ; цекропії        ; цекропіями          ; цекропіях         ;
пальма          ; пальми            ; пальмі            ; пальму          ; пальмою           ; пальмі            ; пальми          ; пальм             ; пальмам           ; пальми          ; пальмами            ; пальмах           ;
бамбук          ; бамбука           ; бамбуку           ; бамбук          ; бамбуком          ; бамбуці           ; бамбуки         ; бамбуків          ; бамбукам          ; бамбуки         ; бамбуками           ; бамбуках          ;
ясен            ; ясена             ; ясену             ; ясен            ; ясеном            ; ясені             ; ясени           ; ясенів            ; ясенам            ; ясени           ; ясенами             ; ясенах            ;
осика           ; осики             ; осиці             ; осику           ; осикою            ; осиці             ; осики           ; осик              ; осикам            ; осики           ; осиками             ; осиках            ;
бук             ; бука              ; буку              ; бук             ; буком             ; буці              ; буки            ; буків             ; букам             ; буки            ; буками              ; буках             ;
береза          ; берези            ; березі            ; березу          ; березою           ; березі            ; берези          ; беріз             ; березам           ; берези          ; березами            ; березах           ;
вишня           ; вишні             ; вишні             ; вишню           ; вишнею            ; вишні             ; вишні           ; вишень            ; вишням            ; вишні           ; вишнями             ; вишнях            ;
каштан          ; каштана           ; каштану           ; каштан          ; каштаном          ; каштані           ; каштани         ; каштанів          ; каштанам          ; каштани         ; каштанами           ; каштанах          ;
в'яз            ; в'яза             ; в'язу             ; в'яз            ; в'язом            ; в'язі             ; в'язи           ; в'язів            ; в'язам            ; в'язи           ; в'язами             ; в'язах            ;
ялиця           ; ялиці             ; ялиці             ; ялицю           ; ялицею            ; ялиці             ; ялиці           ; ялиць             ; ялицям            ; ялиці           ; ялицями             ; ялицях            ;
болиголов       ; болиголова        ; болиголову        ; болиголов       ; болиголовом       ; болиголові        ; болиголови      ; болиголовів       ; болиголовам       ; болиголови      ; болиголовами        ; болиголовах       ;
гікорі          ; гікорі            ; гікорі            ; гікорі          ; гікорі            ; гікорі            ; гікорі          ; гікорі            ; гікорі            ; гікорі          ; гікорі              ; гікорі            ;
модрина         ; модрини           ; модрині           ; модрину         ; модриною          ; модрині           ; модрини         ; модрин            ; модринам          ; модрини         ; модринами           ; модринах          ;
клен            ; клена             ; клену             ; клен            ; кленом            ; клені             ; клени           ; кленів            ; кленам            ; клени           ; кленами             ; кленах            ;
кедр            ; кедра             ; кедру             ; кедр            ; кедром            ; кедрі             ; кедри           ; кедрів            ; кедрам            ; кедри           ; кедрами             ; кедрах            ;
ялина           ; ялини             ; ялині             ; ялину           ; ялиною            ; ялині             ; ялини           ; ялин              ; ялинам            ; ялини           ; ялинами             ; ялинах            ;
волоський горіх ; волоського горіха ; волоському горіху ; волоський горіх ; волоським горіхом ; волоському горіху ; волоські горіхи ; волоських горіхів ; волоським горіхам ; волоські горіхи ; волоськими горіхами ; волоських горіхах ;
верба           ; верби             ; вербі             ; вербу           ; вербою            ; вербі             ; верби           ; верб              ; вербам            ; верби           ; вербами             ; вербах            ;

// [PersonJob]
// 0           ; 1                ; 2                  ; 3                ; 4                ; 5                  ; 6              ; 7                ; 8                ; 9               ; 10                 ; 11               ;
фермер         ; фермера          ; фермерові          ; фермера          ; фермером         ; фермерові          ; фермери        ; фермерів         ; фермерам         ; фермерів        ; фермерами          ; фермерах         ;
селянин        ; селянина         ; селянинові         ; селянина         ; селянином        ; селянинові         ; селяни         ; селян            ; селянам          ; селян           ; селянами           ; селянах          ;
мірошник       ; мірошника        ; мірошникові        ; мірошника        ; мірошником       ; мірошникові        ; мірошники      ; мірошників       ; мірошникам       ; мірошників      ; мірошниками        ; мірошниках       ;
коваль         ; коваля           ; ковалеві           ; коваля           ; ковалем          ; ковалеві           ; ковалі         ; ковалів          ; ковалям          ; ковалів         ; ковалями           ; ковалях          ;
пивовар        ; пивовара         ; пивоварові         ; пивовара         ; пивоваром        ; пивоварові         ; пивовари       ; пивоварів        ; пивоварам        ; пивоварів       ; пивоварами         ; пивоварах        ;
ткач           ; ткача            ; ткачеві            ; ткача            ; ткачем           ; ткачеві            ; ткачі          ; ткачів           ; ткачам           ; ткачів          ; ткачами            ; ткачах           ;
кухар          ; кухаря           ; кухареві           ; кухаря           ; кухарем          ; кухареві           ; кухарі         ; кухарів          ; кухарям          ; кухарів         ; кухарями           ; кухарях          ;
жебрак         ; жебрака          ; жебракові          ; жебрака          ; жебраком         ; жебракові          ; жебраки        ; жебраків         ; жебракам         ; жебраків        ; жебраками          ; жебраках         ;
міський страж  ; міського стража  ; міському стражеві  ; міського стража  ; міським стражем  ; міському стражеві  ; міські стражі  ; міських стражів  ; міським стражам  ; міські стражі   ; міськими стражами  ; міських стражах  ;
міський радник ; міського радника ; міському радникові ; міського радника ; міським радником ; міському радникові ; міські радники ; міських радників ; міським радникам ; міські радники  ; міськими радниками ; міських радниках ;
пекар          ; пекаря           ; пекареві           ; пекаря           ; пекарем          ; пекареві           ; пекарі         ; пекарів          ; пекарям          ; пекарів         ; пекарями           ; пекарях          ;
кравець        ; кравця           ; кравцеві           ; кравця           ; кравцем          ; кравцеві           ; кравці         ; кравців          ; кравцям          ; кравців         ; кравцями           ; кравцях          ;
старійшина     ; старійшини       ; старійшині         ; старійшину       ; старійшиною      ; старійшині         ; старійшини     ; старійшин        ; старійшинам      ; старійшини      ; старійшинами       ; старійшинах      ;
зброяр         ; зброяра          ; зброяреві          ; зброяра          ; зброярем         ; зброяреві          ; зброярі        ; зброярів         ; зброярам         ; зброярі         ; зброярами          ; зброярах         ;
лучник         ; лучника          ; лучникові          ; лучника          ; лучником         ; лучникові          ; лучники        ; лучників         ; лучникам         ; лучники         ; лучниками          ; лучниках         ;
молотильник    ; молотильника     ; молотильникові     ; молотильника     ; молотильником    ; молотильникові     ; молотильники   ; молотильників    ; молотильникам    ; молотильників   ; молотильниками     ; молотильниках    ;
покрівельник   ; покрівельника    ; покрівельникові    ; покрівельника    ; покрівельником   ; покрівельникові    ; покрівельники  ; покрівельників   ; покрівельникам   ; покрівельників  ; покрівельниками    ; покрівельниках   ;
тесляр         ; тесляра          ; тесляреві          ; тесляра          ; теслярем         ; тесляреві          ; теслярі        ; теслярів         ; теслярам         ; теслярів        ; теслярами          ; теслярах         ;
торговець      ; торговця         ; торговцеві         ; торговця         ; торговцем        ; торговцеві         ; торговці       ; торговців        ; торговцям        ; торговців       ; торговцями         ; торговцях        ;
хірург         ; хірурга          ; хірургові          ; хірурга          ; хірургом         ; хірургові          ; хірурги        ; хірургів         ; хірургам         ; хірурги         ; хірургами          ; хірургах         ;
лікар          ; лікаря           ; лікареві           ; лікаря           ; лікарем          ; лікареві           ; лікарі         ; лікарів          ; лікарям          ; лікарів         ; лікарями           ; лікарях          ;
дослідник      ; дослідника       ; дослідникові       ; дослідника       ; дослідником      ; дослідникові       ; дослідники     ; дослідників      ; дослідникам      ; дослідників     ; дослідниками       ; дослідниках      ;
авантюрист     ; авантюриста      ; авантюристові      ; авантюриста      ; авантюристом     ; авантюристові      ; авантюристи    ; авантюристів     ; авантюристам     ; авантюристів    ; авантюристами      ; авантюристах     ;
п'яниця        ; п'яниці          ; п'яниці            ; п'яницю          ; п'яницею         ; п'яниці            ; п'яниці        ; п'яниць          ; п'яницям         ; п'яниці         ; п'яницями          ; п'яницях         ;
священик       ; священика        ; священикові        ; священика        ; священиком       ; священикові        ; священики      ; священиків       ; священикам       ; священиків      ; священиками        ; священиках       ;
клірик         ; клірика          ; клірикові          ; клірика          ; кліриком         ; клірикові          ; клірики        ; кліриків         ; клірикам         ; кліриків        ; кліриками          ; кліриках         ;
контрабандист  ; контрабандиста   ; контрабандистові   ; контрабандиста   ; контрабандистом  ; контрабандистові   ; контрабандисти ; контрабандистів  ; контрабандистам  ; контрабандистів ; контрабандистами   ; контрабандистах  ;
комік          ; коміка           ; комікові           ; коміка           ; коміком          ; комікові           ; коміки         ; коміків          ; комікам          ; коміків         ; коміками           ; коміках          ;
вчитель        ; вчителя          ; вчителеві          ; вчителя          ; вчителем         ; вчителеві          ; вчителі        ; вчителів         ; вчителям         ; вчителів        ; вчителями          ; вчителях         ;
акробат        ; акробата         ; акробатові         ; акробата         ; акробатом        ; акробатові         ; акробати       ; акробатів        ; акробатам        ; акробати        ; акробатами         ; акробатах        ;
клоун          ; клоуна           ; клоунові           ; клоуна           ; клоуном          ; клоунові           ; клоуни         ; клоунів          ; клоунам          ; клоуни          ; клоунами           ; клоунах          ;
актор          ; актора           ; акторові           ; актора           ; актором          ; акторові           ; актори         ; акторів          ; акторам          ; актори          ; акторами           ; акторах          ;
художник       ; художника        ; художникові        ; художника        ; художником       ; художникові        ; художники      ; художників       ; художникам       ; художників      ; художниками        ; художниках       ;
боксер         ; боксера          ; боксерові          ; боксера          ; боксером         ; боксерові          ; боксери        ; боксерів         ; боксерам         ; боксери         ; боксерами          ; боксерах         ;
хімік          ; хіміка           ; хімікові           ; хіміка           ; хіміком          ; хімікові           ; хіміки         ; хіміків          ; хімікам          ; хіміки          ; хіміками           ; хіміках          ;
танцюрист      ; танцюриста       ; танцюристові       ; танцюриста       ; танцюристом      ; танцюристові       ; танцюристи     ; танцюристів      ; танцюристам      ; танцюристів     ; танцюристами       ; танцюристах      ;
ворожка        ; ворожки          ; ворожці            ; ворожку          ; ворожкою         ; ворожці            ; ворожки        ; ворожок          ; ворожкам         ; ворожки         ; ворожками          ; ворожках         ;
садівник       ; садівника        ; садівникові        ; садівника        ; садівником       ; садівникові        ; садівники      ; садівників       ; садівникам       ; садівники       ; садівниками        ; садівниках       ;
покоївка       ; покоївки         ; покоївці           ; покоївку         ; покоївкою        ; покоївці           ; покоївки       ; покоївок         ; покоївкам        ; покоївки        ; покоївками         ; покоївках        ;
гіпнотизер     ; гіпнотизера      ; гіпнотизерові      ; гіпнотизера      ; гіпнотизером     ; гіпнотизерові      ; гіпнотизери    ; гіпнотизерів     ; гіпнотизерам     ; гіпнотизери     ; гіпнотизерами      ; гіпнотизерах     ;
ювелір         ; ювеліра          ; ювелірові          ; ювеліра          ; ювеліром         ; ювелірові          ; ювеліри        ; ювелірів         ; ювелірам         ; ювеліри         ; ювелірами          ; ювелірах         ;
поет           ; поета            ; поетові            ; поета            ; поетом           ; поетові            ; поети          ; поетів           ; поетам           ; поети           ; поетами            ; поетах           ;
ковбой         ; ковбоя           ; ковбоєві           ; ковбоя           ; ковбоєм          ; ковбоєві           ; ковбої         ; ковбоїв          ; ковбоям          ; ковбої          ; ковбоями           ; ковбоях          ;
співак         ; співака          ; співакові          ; співака          ; співаком         ; співакові          ; співаки        ; співаків         ; співакам         ; співаки         ; співаками          ; співаках         ;
філософ        ; філософа         ; філософові         ; філософа         ; філософом        ; філософові         ; філософи       ; філософів        ; філософам        ; філософи        ; філософами         ; філософах        ;
стрілець       ; стрільця         ; стрільцеві         ; стрільця         ; стрільцем        ; стрільцеві         ; стрільці       ; стрільців        ; стрільцям        ; стрільців       ; стрільцями         ; стрільцях        ;
шериф          ; шерифа           ; шерифові           ; шерифа           ; шерифом          ; шерифові           ; шерифи         ; шерифів          ; шерифам          ; шерифи          ; шерифами           ; шерифах          ;
археолог       ; археолога        ; археологові        ; археолога        ; археологом       ; археологові        ; археологи      ; археологів       ; археологам       ; археологи       ; археологами        ; археологах       ;
хакер          ; хакера           ; хакерові           ; хакера           ; хакером          ; хакерові           ; хакери         ; хакерів          ; хакерам          ; хакери          ; хакерами           ; хакерах          ;
планетолог     ; планетолога      ; планетологові      ; планетолога      ; планетологом     ; планетологові      ; планетологи    ; планетологів     ; планетологам     ; планетологи     ; планетологами      ; планетологах     ;
політик        ; політика         ; політикові         ; політика         ; політиком        ; політикові         ; політики       ; політиків        ; політикам        ; політики        ; політиками         ; політиках        ;
історик        ; історика         ; історикові         ; історика         ; істориком        ; історикові         ; історики       ; істориків        ; історикам        ; історики        ; істориками         ; істориках        ;
письменник     ; письменника      ; письменникові      ; письменника      ; письменником     ; письменникові      ; письменники    ; письменників     ; письменникам     ; письменники     ; письменниками      ; письменниках     ;
інженер        ; інженера         ; інженерові         ; інженера         ; інженером        ; інженерові         ; інженери       ; інженерів        ; інженерам        ; інженери        ; інженерами         ; інженерах        ;
дантист        ; дантиста         ; дантистові         ; дантиста         ; дантистом        ; дантистові         ; дантисти       ; дантистів        ; дантистам        ; дантисти        ; дантистами         ; дантистах        ;
юрист          ; юриста           ; юристові           ; юриста           ; юристом          ; юристові           ; юристи         ; юристів          ; юристам          ; юристи          ; юристами           ; юристах          ;

// [Enemies]
// 0       ; 1          ; 2            ; 3          ; 4           ; 5            ; 6          ; 7           ; 8           ; 9           ; 10           ; 11          ;
бандит     ; бандита    ; бандитові    ; бандита    ; бандитом    ; бандитові    ; бандити    ; бандитів    ; бандитам    ; бандитів    ; бандитами    ; бандитах    ;
злочинець  ; злочинця   ; злочинцеві   ; злочинця   ; злочинцем   ; злочинцеві   ; злочинці   ; злочинців   ; злочинцям   ; злочинців   ; злочинцями   ; злочинцях   ;
рейдер     ; рейдера    ; рейдерові    ; рейдера    ; рейдером    ; рейдерові    ; рейдери    ; рейдерів    ; рейдерам    ; рейдерів    ; рейдерами    ; рейдерах    ;
розбійник  ; розбійника ; розбійникові ; розбійника ; розбійником ; розбійникові ; розбійники ; розбійників ; розбійникам ; розбійників ; розбійниками ; розбійниках ;
пірат      ; пірата     ; піратові     ; пірата     ; піратом     ; піратові     ; пірати     ; піратів     ; піратам     ; піратів     ; піратами     ; піратах     ;
грабіжник  ; грабіжника ; грабіжникові ; грабіжника ; грабіжником ; грабіжникові ; грабіжники ; грабіжників ; грабіжникам ; грабіжників ; грабіжниками ; грабіжниках ;
шахрай     ; шахрая     ; шахраєві     ; шахрая     ; шахраєм     ; шахраєві     ; шахраї     ; шахраїв     ; шахраям     ; шахраїв     ; шахраями     ; шахраях     ;
негідник   ; негідника  ; негідникові  ; негідника  ; негідником  ; негідникові  ; негідники  ; негідників  ; негідникам  ; негідників  ; негідниками  ; негідниках  ;
злодій     ; злодія     ; злодієві     ; злодія     ; злодієм     ; злодієві     ; злодії     ; злодіїв     ; злодіям     ; злодіїв     ; злодіями     ; злодіях     ;
терорист   ; терориста  ; терористові  ; терориста  ; терористом  ; терористові  ; терористи  ; терористів  ; терористам  ; терористів  ; терористами  ; терористах  ;
варвар     ; варвара    ; варварові    ; варвара    ; варваром    ; варварові    ; варвари    ; варварів    ; варварам    ; варварів    ; варварами    ; варварах    ;
людожер    ; людожера   ; людожерові   ; людожера   ; людожером   ; людожерові   ; людожери   ; людожерів   ; людожерам   ; людожерів   ; людожерами   ; людожерах   ;
диявол     ; диявола    ; дияволові    ; диявола    ; дияволом    ; дияволові    ; дияволи    ; дияволів    ; дияволам    ; дияволів    ; дияволами    ; дияволах    ;
демон      ; демона     ; демонові     ; демона     ; демоном     ; демонові     ; демони     ; демонів     ; демонам     ; демонів     ; демонами     ; демонах     ;
звір       ; звіра      ; звірові      ; звіра      ; звіром      ; звірові      ; звірі      ; звірів      ; звірам      ; звірів      ; звірами      ; звірах      ;
чудовисько ; чудовиська ; чудовиську   ; чудовисько ; чудовиськом ; чудовиську   ; чудовиська ; чудовиськ   ; чудовиськам ; чудовиська  ; чудовиськами ; чудовиськах ;
вампір     ; вампіра    ; вампірові    ; вампіра    ; вампіром    ; вампірові    ; вампіри    ; вампірів    ; вампірам    ; вампірів    ; вампірами    ; вампірах    ;
нечисть    ; нечисті    ; нечисті      ; нечисть    ; нечистю     ; нечисті      ; нечисті    ; нечистей    ; нечистям    ; нечисть     ; нечистями    ; нечистях    ;
гоблін     ; гобліна    ; гоблінові    ; гобліна    ; гобліном    ; гоблінові    ; гобліни    ; гоблінів    ; гоблінам    ; гоблінів    ; гоблінами    ; гоблінах    ;
чортеня    ; чортеняти  ; чортеняті    ; чортеня    ; чортеням    ; чортеняті    ; чортенята  ; чортенят    ; чортенятам  ; чортенят    ; чортенятами  ; чортенятах  ;
дракон     ; дракона    ; драконові    ; дракона    ; драконом    ; драконові    ; дракони    ; драконів    ; драконам    ; драконів    ; драконами    ; драконах    ;

// [Apparel]
// 0                ; 1                   ; 2                   ; 3                   ; 4                    ; 5                   ; 6                   ; 7                   ; 8                    ; 9                   ; 10                    ; 11                   ;
сорочка             ; сорочки             ; сорочці             ; сорочку             ; сорочкою             ; сорочці             ; сорочки             ; сорочок             ; сорочкам             ; сорочки             ; сорочками             ; сорочках             ;
сорочка на ґудзиках ; сорочки на ґудзиках ; сорочці на ґудзиках ; сорочку на ґудзиках ; сорочкою на ґудзиках ; сорочці на ґудзиках ; сорочки на ґудзиках ; сорочок на ґудзиках ; сорочкам на ґудзиках ; сорочки на ґудзиках ; сорочками на ґудзиках ; сорочках на ґудзиках ;
офіційна сорочка    ; офіційної сорочки   ; офіційній сорочці   ; офіційну сорочку    ; офіційною сорочкою   ; офіційній сорочці   ; офіційні сорочки    ; офіційних сорочок   ; офіційним сорочкам   ; офіційні сорочки    ; офіційними сорочками  ; офіційних сорочках   ;
куртка              ; куртки              ; куртці              ; куртку              ; курткою              ; куртці              ; куртки              ; курток              ; курткам              ; куртки              ; куртками              ; куртках              ;
плащ                ; плаща               ; плащеві             ; плащ                ; плащем               ; плащі               ; плащі               ; плащів              ; плащам               ; плащі               ; плащами               ; плащах               ;
офіційний костюм    ; офіційного костюма  ; офіційному костюму  ; офіційний костюм    ; офіційним костюмом   ; офіційному костюмі  ; офіційні костюми    ; офіційних костюмів  ; офіційним костюмам   ; офіційні костюми    ; офіційними костюмами  ; офіційних костюмах   ;
вечірня сукня       ; вечірньої сукні     ; вечірній сукні      ; вечірню сукню       ; вечірньою сукнею     ; вечірній сукні      ; вечірні сукні       ; вечірніх суконь     ; вечірнім сукням      ; вечірні сукні       ; вечірніми сукнями     ; вечірніх сукнях      ;
парка               ; парки               ; парці               ; парку               ; паркою               ; парці               ; парки               ; парок               ; паркам               ; парки               ; парками               ; парках               ;
дастер              ; дастера             ; дастерові           ; дастер              ; дастером             ; дастерові           ; дастери             ; дастерів            ; дастерам             ; дастери             ; дастерами             ; дастерах             ;
космічний костюм    ; космічного костюма  ; космічному костюму  ; космічний костюм    ; космічним костюмом   ; космічному костюмі  ; космічні костюми    ; космічних костюмів  ; космічним костюмам   ; космічні костюми    ; космічними костюмами  ; космічних костюмах   ;
силовий костюм      ; силового костюма    ; силовому костюму    ; силовий костюм      ; силовим костюмом     ; силовому костюмі    ; силові костюми      ; силових костюмів    ; силовим костюмам     ; силові костюми      ; силовими костюмами    ; силових костюмах     ;
краватка-метелик    ; краватки-метелика   ; краватці-метелику   ; краватку-метелика   ; краваткою-метеликом  ; краватці-метелику   ; краватки-метелики   ; краваток-метеликів  ; краваткам-метеликам  ; краватки-метелики   ; краватками-метеликами ; краватках-метеликах  ;
краватка            ; краватки            ; краватці            ; краватку            ; краваткою            ; краватці            ; краватки            ; краваток            ; краваткам            ; краватки            ; краватками            ; краватках            ;
пояс                ; пояса               ; поясові             ; пояс                ; поясом               ; поясі               ; пояси               ; поясів              ; поясам               ; пояси               ; поясами               ; поясах               ;
бандаж              ; бандажа             ; бандажеві           ; бандаж              ; бандажем             ; бандажеві           ; бандажі             ; бандажів            ; бандажам             ; бандажі             ; бандажами             ; бандажах             ;
капелюх             ; капелюха            ; капелюхові          ; капелюх             ; капелюхом            ; капелюсі            ; капелюхи            ; капелюхів           ; капелюхам            ; капелюхи            ; капелюхами            ; капелюхах            ;
казанок             ; казанка             ; казанку             ; казанок             ; казанком             ; казанку             ; казанки             ; казанків            ; казанкам             ; казанки             ; казанками             ; казанках             ;
бейсболка           ; бейсболки           ; бейсболці           ; бейсболку           ; бейсболкою           ; бейсболці           ; бейсболки           ; бейсболок           ; бейсболкам           ; бейсболки           ; бейсболками           ; бейсболках           ;
туке                ; туке                ; туке                ; туке                ; туке                 ; туке                ; туке                ; туке                ; туке                 ; туке                ; туке                  ; туке                 ;
циліндр             ; циліндра            ; циліндрові          ; циліндр             ; циліндром            ; циліндрові          ; циліндри            ; циліндрів           ; циліндрам            ; циліндри            ; циліндрами            ; циліндрах            ;
взуття              ; взуття              ; взуттю              ; взуття              ; взуттям              ; взутті              ; взуття              ; взуттів             ; взуттям              ; взуття              ; взуттями              ; взуттях              ;
черевик             ; черевика            ; черевикові          ; черевик             ; черевиком            ; черевикові          ; черевики            ; черевиків           ; черевикам            ; черевики            ; черевиками            ; черевиках            ;
сандалія            ; сандалії            ; сандалії            ; сандалію            ; сандалією            ; сандалії            ; сандалії            ; сандалій            ; сандаліям            ; сандалії            ; сандаліями            ; сандаліях            ;

// [TalkTopics_Heavy]
// 0                        ; 1                           ; 2                           ; 3                           ; 4                            ; 5                           ; 6             ; 7              ; 8              ; 9             ; 10              ; 11             ;
дитинство                   ; дитинства                   ; дитинству                   ; дитинство                   ; дитинством                   ; дитинстві                   ; дитинства     ; дитинств       ; дитинствам     ; дитинства     ; дитинствами     ; дитинствах     ;
дитячі страхи               ; дитячих страхів             ; дитячим страхам             ; дитячі страхи               ; дитячими страхами            ; дитячих страхах             ;
дитячі любові               ; дитячих любовей             ; дитячим любовям             ; дитячі любові               ; дитячими любовями            ; дитячих любовях             ;
дитячі спогади              ; дитячих спогадів            ; дитячим спогадам            ; дитячі спогади              ; дитячими спогадами           ; дитячих спогадах            ;
життя                       ; життя                       ; життю                       ; життя                       ; життям                       ; житті                       ; життя         ; життів         ; життям         ; життя         ; життями         ; життях         ;
життєві випробування        ; життєвих випробувань        ; життєвим випробуванням      ; життєві випробування        ; життєвими випробуваннями     ; життєвих випробуваннях      ;
життєві винагороди          ; життєвих винагород          ; життєвим винагородам        ; життєві винагороди          ; життєвими винагородами       ; життєвих винагородах        ;
життєві спогади             ; життєвих спогадів           ; життєвим спогадам           ; життєві спогади             ; життєвими спогадами          ; життєвих спогадах           ;
життєві цілі                ; життєвих цілей              ; життєвим цілям              ; життєві цілі                ; життєвими цілями             ; життєвих цілях              ;
життєві жалі                ; життєвих жалів              ; життєвим жалям              ; життєві жалі                ; життєвими жалями             ; життєвих жалях              ;
життєві стреси              ; життєвих стресів            ; життєвим стресам            ; життєві стреси              ; життєвими стресами           ; життєвих стресах            ;
розчарування життя          ; розчарування життя          ; розчаруванню життя          ; розчарування життя          ; розчаруванням життя          ; розчаруванні життя          ;
безглуздість життя          ; безглуздості життя          ; безглуздості життя          ; безглуздість життя          ; безглуздістю життя           ; безглуздості життя          ;
випадковість життя          ; випадковості життя          ; випадковості життя          ; випадковість життя          ; випадковістю життя           ; випадковості життя          ;
надія                       ; надії                       ; надії                       ; надію                       ; надією                       ; надії                       ; надії         ; надій          ; надіям         ; надії         ; надіями         ; надіях         ;
зрілість                    ; зрілості                    ; зрілості                    ; зрілість                    ; зрілістю                     ; зрілості                    ; зрілості      ; зрілостей      ; зрілостям      ; зрілості      ; зрілостями      ; зрілостях      ;
