// {lookup: {термін, ключове слово}; Case; 1-7}
// {lookup: {термін}; Case; 3} -> 3-давальний (кому? чому?)
// {lookup: {PAWN_labelShort}; Case; 3}
// {lookup: {0_labelShort}; Case; 1}
// Case:
// 1-називний (хто? що?)
// 2-родовий (кого? чого?)
// 3-давальний (кому? чому?)
// 4-знахідний (кого? що?)
// 5-орудний (ким? чим?)
// 6-місцевий (на кому? на чому?)
// 7-кличний


// Це список категорій які є у файлі (для пошуку)
// Body, FactionDef, HeadiffDef, Headiff_BodyParts, OrderedTakeGroupDef, ... , RoomRoles

// Body

голова; голови; голові; голову; головою;

пташине м'ясо; пташине м'ясо; пташиному м'ясу; пташине м'ясо; пташиним м'ясом;

милі маленькі зубки; милих маленьких зубок; сили маленьким зубкам; милі маленькі зубки; милими маленькими зубками;

яловичина; яловичини; яловичині; яловичину; яловичиною;

ліве копито; лівого копита; лівому копиту; ліве копито; лівим копитом;
праве копито; правого копита; правому копиту; праве копито; правим копитом;
конина; конини; конині; конину; кониною;
м'ясо яка; м'яса яка; м'ясу яка; м'ясо яка; м'ясом яка;

мандибули; мандибул; мандибулам; мандибули; мандибулами;
комашине м'ясо; комашиного м'яса; комашиному м'ясу; комашине м'ясо; комашиним м'ясом;
хеліцери; хліцерів; хліцерам; хліцери; хліцерами;

м'ясо кобри; м'яса кобри; м'ясу кобри; м'ясо кобри; м'ясом кобри;
отруйні ікла; отруйних ікл; отруйним іклам; отруйні ікла; отруйними іклами;

оленина; оленини; оленині; оленину; олениною;
свинина; свинини; свинині; свинину; свининою;
ікла; ікл; іклам; ікли; іклам;

м'ясо лисиці; м'яса лисиці; м'ясу лисиці; м'ясо лисиці; м'ясом лисиці;
вовче м’ясо; вовчого м'яса; вовчому м'ясу; вовче м'ясо; вовчим м'ясом;

людина; людини; людині; людину; людиною;

набій штурмової гвинтівки; набоя штурмової гвинтівки; набою штурмової гвинтівки; набій штурмової гвинтівки; набоєм штурмової гвинтівки;
набій пістолета; набою пістолета; набою пістолета; набій пістолета; набоєм пістолета;
набій дробовика; набою дробовика; набою дробовика; набій дробовика; набоєм дробовика;
набій гвинтівки; набоя гвинтівки; набою гвинтівки; набій гвинтівки; набоєм гвинтівки;
ЕМІ-снаряд; ЕМІ-снаряда; ЕМІ-снаряду; ЕМІ-снаряд; ЕМІ-снарядом;
набій пістолета-кулемета; набоя пістолета-кулемета; набою пістолета-кулемета; набій пістолета-кулемета; набоєм пістолета-кулемета;
запальний снаряд; запального снаряда; запальному снаряду; запальний снаряд; запальним снарядом;
набій ручного кулемета; набоя ручного кулемета; набою ручного кулемета; набій ручного кулемета; набоєм ручного кулемета;
набій автоматичного пістолета; набоя автоматичного пістолета; набою автоматичного пістолета; набій автоматичного пістолета; набоєм автоматичного пістолета;
набій мініґану; набоя мініґану; набою мініґану; набій мініґану; набоєм мініґану;
револьверний набій; револьверного набоя; револьверному набою; револьверний набій; револьверним набоєм;
дріб дробовика; дробі дробовика; дробу дробовика; дріб дробовика; дробом дробовика;
димовий снаряд; димового снаряда; димовому снаряду; димовий снаряд; димовими снарядом;
набій снайперської гвинтівки; набою снайперської гвинтівки; набою снайперської гвинтівки; набій снайперської гвинтівки; набоєм снайперської гвинтівки;
штурмова гвинтівка; штурмової гвинтівки; штурмовій гвинтівці; штурмову гвинтівку; штурмовою гвинтівкою;
пістолет; пістолета; пістолету; пістолет; пістолетом;
гвинтівка; гвинтівки; гвинтівці; гвинтівку; гвинтівкою;
автоматичний дробовик; автоматичного дробовика; автоматичному дробовику; автоматичний дробовик; автоматичним дробовиком;
ЕМІ-гранатомет; ЕМІ-гранатомета; ЕМІ-гранатомету; ЕМІ-гранатомет; ЕМІ-гранатометом;
пістолет-кулемет; пістолета-кулемета; пістолету-кулемету; пістолет-кулемет; пістолетом-кулеметом;
запальний гранатомет; запального гранатомета; запальному гранатомету; запальний гранатомет; запальним гранатометом;
ручний кулемет; ручного кулемета; ручному кулемету; ручний кулемет; ручним кулеметом;
автоматичний пістолет; автоматичного пістолета; автоматичному пістолету; автоматичний пістолет; автоматичним пістолетом;
мініґан; мініґана; мініґану; мініґан; мініґаном;
дробовик; дробовика; дробовику; дробовик; дробовиком;
револьвер; револьвера; револьверу; револьвер; револьвером;
димовий гранатомет; димового гранатомета; димовому гранатомету; димовий гранатомет; димовим гранатометом;
снайперська гвинтівка; снайперської гвинтівки; снайперській гвинтівці; снайперську гвинтівку; снайперською гвинтівкою;

ракета судного дня; ракети судного дня; ракеті судного дня; ракету судного дня; ракетою судного дня;
ракета; ракети; ракеті; ракету; ракетою;
пускова установка судного дня; пускової установки судного дня; пусковій установці судного дня; пускову установку судного дня; пусковою установкою судного дня;
зтроєна ракетниця; зтроєної ракетниці; зтроєній ракетниці; зтроєну ракетницю; зтроєною ракетницею;

ЕМІ-граната; ЕМІ-гранати; ЕМІ-гранаті; ЕМІ-гранату; ЕМІ-гранатою;
осколкова граната; осколкової гранати; осколковій гранаті; осколкову гранату; осколковою гранатою;
коктейль молотова; коктейлю молотова; коктейлю молотова; коктейль молотова; коктейлем молотова;
ЕМІ-гранати; ЕМІ-гранат; ЕМІ-гранатами; ЕМІ-гранати; ЕМІ-гранатами;
осколкові гранати; осколкових гранат; осколковими гранатами; осколкові гранати; осколковими гранатами;
коктейлі молотова; коктейлів молотова; коктейлям молотова; коктейлі молотова ; коктейлями молотова;

заряд бластера; заряда боастера; заряду бластера; заряд бластера; зарядом бластера;
снаряд пекельної гармати; снаряда пекельної гармати; снаряду пекельної гармату; снаряд пекельної гармати; снарядом пекельної гармати;
снаряд голкомету; снаряда голкомету; снаряду голкомету; снаряд голкомету; снарядом голкомету;
важкий бластер; важкого бластера; важкому бластеру; важкий бластер; важким бластером;
пекельна гармата; пекельної гармати; пекельній гарматі; пекельну гармату; пекельною гарматою;
голкомет; голкомета; голкомету; голкомет; голкометом;

важка стріла; важкої стріли; важкій стрілі; важку стрілу; важкою стрілою;
композитна стріла; композитної стріли; композитній стрілі; композитну стрілу; композитною стрілою;
коротка стріла; короткої стріли; короткій стрілі; коротку стрілу; короткою стрілою;
довгий лук; довгого лука; довгому луку; довгий лук; довгим луком;
композитний лук; композитного лука; композитному луку; композитний лук; композитним луком;
короткий лук; короткого лука; короткому луку; короткий лук; коротким луком;
пілум; пілума; пілуму; пілум; пілумом;

заряд енергосписа; заряду енергосписа; заряду енергосписа; заряд енергосписа; зарядом енергосписа;
енергетичний заряд; енергетичного заряду; енергетичному заряду; енергетичний заряд; енергетичним зарядом;
енергоспис; енергосписа; енергоспису; енергоспис; енергосписом;
енергетична гвинтівка; енергетичної гвинтівки; енергетичній гвинтівці; енергетичну гвинтівку; енергетичною

вказівник орбітального бомбардування; вказівника орбітального бомбардування; вказівнику орбітального бомбардування; вказівник орбітального бомбардування; вказівником орбітального бомбардування;
вказівник силового променя; вказівника силового променя; вказівнику силового променя; вказівник силового променя; вказівником силового променя;
генератор торнадо; генератора торнадо; генератору торнадо; генератор торнадо; генератором торнадо;

косяк димолисту; косяка димолисту; косяку димолисту; косяк димолисту; косяком димолисту;

вогонь; вогню; вогню; вогонь; вогнем; 
іскра; іскри; іскри; іскру; іскрою;

блоки граніту; блоків граніту; блокам граніту: блоки граніту; блоками граніту;
блоки вапняку; блоків вапняку; блокам вапняку: блоки вапняку; блоками вапняку;
блоки мармуру; блоків мармуру; блокам мармуру: блоки мармуру; блоками мармуру;
блоки пісковику; блоків пісковику; блокам пісковику: блоки пісковику; блоками пісковику;
блоки сланцю; блоків сланцю; блокам сланцю: блоки сланцю; блоками сланцю;
уламок граніту; уламка граніту; уламку граніту; уламок граніту; уламком граніту;
уламок вапняку; уламка вапняку; уламку вапняку; уламок вапняку; уламком вапняку;
уламок мармуру; уламка мармуру; уламку мармуру; уламок мармуру; уламком мармуру;
уламок пісковику; уламка пісковику; уламку пісковику; уламок пісковику; уламком пісковику;
металобрухт; металобрухту; металобрухту; металобрухт; металобрухтом;
уламок сланцю; уламка сланцю; уламку сланцю; уламок сланцю; уламком сланцю;
граніт; граніта; граніту; граніт; гранітом;
вапняк; вапняка; вапняку; вапняк; вапняком
мармур; мармуру; мармуру; мармур; мармуром;
пісковик; пісковика; пісковику; пісковик; пісковиком;
сланець; сланця; сланцю; сланець; сланцем; 
відполірований сланець; відполірованого сланця; відполірованому сланцю; відполірований сланець; відполірованим сланцем;
відполірований граніт; відполірованого граніта; відполірованому граніту; відполірований граніт; відполірованим гранітом;
відполірований вапняк; відполірованого вапняка; відполірованому вапняку; відполірований вапняк; відполірованим вапняком;
відполірований мармур; відполірованого мармуру; відполірованому мармуру; відполірований мармур; відполірованим мармуром;
відполірований пісковик; відполірованого пісковика; відполірованому пісковику; відполірований пісковик; відполірованим пісковиком;
відполірований сланець; відполірованого сланця; відполірованому сланцю; відполірований сланець; відполірованим сланцем;

ударний снаряд; ударного снаряду; ударному снаряду; ударний снаряд; ударним снарядом;
ударна гармата; ударної гармати; ударній гарматі; ударну гармату; ударною гарматою;


//ToolCapacityDef

укус; укусу; укусу; укус; укусом;
дроблячий удар; дроблячого удару; дроблячому удару; дроблячий удар; дроблячим ударом;
рублячий удар; рублячого удару; рублячому удару; рублячий удар; рублячим ударом;
знос; зносу; зносу; знос; зносом;
кидок в очі; кидка в очі; кидку в очі; кидок в очі; кидком в очі;
стусан; стусана; стусану; стусан; стусаном;
удар; удара; удару; удар; ударом;
отруйний удар; отруйного удара; отруйному удару; отруйний удар; отруйним ударом;
укол; уколу; уколу; укол; уколом;
отруйний укус; отруйного укусу; отруйному укусу; отруйний укус; отруйним укусом;

//SitePartDef and WorldObjectsDef
засідка; засідки; засідці; засідку; засідкою;
табір бандитів; табору бандитів; табору бандитів; табір бандитів; табором бандитів;
поранений біженець; пораненого біженця; пораненому біженцю; пораненого біженця; пораненим біженцем;
схов; схову; схову; схов; сховом;
агресивні тварини; агресивних тварин; агресивним тваринам; агресивних тварин; агресивними тваринами;
зграя агресивних тварин; зграї агресивних тварин; зграї агресивних тварин; зграю агресивних тварин; зграєю агресивних тварин; 
форпост; форпосту; форпосту; форпост; форпостом; 
можлива, невідома загроза; можливої, невідомої загрози; можливій, невідомий загрозі; можливу, невідому загрозу; можливою, невідомою загрозою;
поклади ресурсів; покладів ресурсів; покладам ресурсів; поклади ресурсів; покладами ресурсів;
неактивні механоїди; неактивних механоїдів; неактивним механоїдам; неактивних механоїдів; неактивними механоїдамм;

покинуте поселення; покинутого поселення; покинутому поселенню; покинуте поселення; покинутим поселенням;
атакований караван; атакованого каравану; атакованому каравану; атакований караван; атакованим караваном;
караван; каравану; каравану; караван; караваном;
зруйноване поселення; зруйнованого поселення; зруйнованому поселенню; зруйноване поселення; зруйнованим поселенням;
корабель; корабля; кораблю; корабель; кораблем; 
мирні переговори; мирних переговорів; мирним переговорам; мирні переговори; мирними переговорами;
точка маршруту; точки маршруту; точці маршруту; точку маршруту; точкою маршруту;
поселення фракції; поселення фракції; поселенню фракції; поселення фракції; поселенням фракції;
транспортні капсули; транспортних капсул; транспортним капсулам; транспортні капсули; транспортними капсулами;


// Keyed

беревень; беревня; беревню; беревень; беревнем;
черпень; черпня; черпню; черпень; черпнем;
жовтопад; жовтопада; жовтопаду; жовтопад; жовтопадом;
грютий; грютого; грютому; грютий; грютим;

чоловік; чоловіка; чоловіку; чоловіка; чоловіком;
чоловіки; чоловіків; чоловікам; чоловіків; чоловіками;
жінка; жінки; жінці; жінку; жінкою;
жінки; жінок; жінкам; жінок; жінками;

турель; турелі; турелі; турель; туреллю;
турелі; турелів; турелям; турелі; турелями;
міномети; мінометів; мінометам; міномети; мінометами;
вороги; ворогів; ворогам; ворогів; ворогами;
місце; місця; місцю; місце; місцем;

тваринництво; тваринництва; тваринництву; тваринництво; тваринництвом; 
мистецтво; мистецтва; мистецтву; мистецтво; мистецтвом; 
будівництво; будівництва; будівництву; будівництво; будівництвом; будівництві; будівництво;
кулінарія; кулінарії; кулінарію; кулінарію; кулінарією; 
ремесло; ремесла; ремеслу; ремесло; ремеслом; 
інтелект; інтелекту; інтелекту; інтелект; інтелектом; 
медицина; медицини; медицині; медицину; медициною; 
ближній бій; ближнього бою; ближньому бою; ближній бій; ближнім боєм; 
видобуток; видобутку; видобутку; видобуток; видобутком; 
рослинництво; рослинництва; рослинництву; рослинництво; рослинництвом; 
стрільба; стрільби; стрільбу; стрільбу; стрільбою; 
соціальність; соціальності; соціальності; соціальність; соціальністю; 

//WorkTypeDef

митець; митця; митцю; митця; митцем; 
чорнороб; чорнороба; чорноробу; чорнороба; чорноробом; 
прибиральник; прибиральника; прибиральнику; прибиральника; прибиральником; 
будівельник; будівельника; будівельнику; будівельника; будівельником; 
кухар; кухаря; кухарю; кухаря; кухарем; 
працівник; працівника; працівнику; працівника; працівником; 
лікар; лікаря; лікарю; лікаря; лікарем; 
пожежник; пожежника; пожежнику; пожежника; пожежником; 
фермер; фермера; фермеру; фермера; фермером; 
тваринник; тваринника; твариннику; тваринника; тваринником; 
вантажник; вантажника; вантажнику; вантажника; вантажником; 
мисливець; мисливця; мисливцю; мисливця; мисливцем; 
шахтар; шахтаря; шахтарю; шахтаря; шахтарем; 
пацієнт; пацієнта; пацієнту; пацієнта; пацієнтом; 
відпочинок; відпочинку; відпочинку; відпочинок; відпочинком;
лісоруб; лісоруба; лісорубу; лісоруба; лісорубом; 
науковець; науковця; науковцю; науковця; науковцем; 
ремісник; ремісника; реміснику; ремісника; ремісником; 
кравець; кравця; кравцю; кравця; кравцем; 
наглядач; наглядача; наглядачу; наглядача; наглядачем; 
нянька; няньки; няньці; няньку; нянькою; 

// Thing 1.5

біонічна щелепа; біонічної щелепи; біонічній щелепі; біонічну щелепу; біонічною щелепою; 

книжкова шафа; книжкової шафи; книжковій шафі; книжкову шафу; книжковою шафою; 
книжкова шафка; книжкової шафки; книжковій шафці; книжкову шафку; книжковою шафкою; 
диван; дивану; дивану; диван; диваном; 
настінний факел; настінного факелу; настінному факелу; настінний факел; настінним факелом; 
настінна лампа; настінної лампи; настінну лампу; настінну лампу; настінною лампою; 
прожектор; прожектор; прожектор; прожектор; прожектор; 

прихований електрокабель; прихованого електрокабелю; прихованому електрокабелю; прихований електрокабель; прихованим електрокабелем; 

декоративні двері; декоративних дверей; декоративній двері; декоративні двері; декоративними дверями; 




//                                                                              ROYALTY
//                                                                              ROYALTY
//                                                                              ROYALTY






// AbilityDef

ритуал зв'язування; ритуалу зв'язування; ритуалу зв'язування; ритуал зв'язування; ритуалом зв'язування; 
поклик; поклику; поклику; поклик; покликом; 
лють; люті; люті; лють; люттю; 
хвиля люті; хвилі люті; хвилі люті; хвилю люті; хвилею люті; 
хвиля засліплення; хвилі засліплення; хвилі засліплення; хвилю засліплення; хвилею засліплення; 
стрибковий щит; стрибкового щита; стрибковому щиту; стрибковий щит; стрибковим щитом; 
тягар; тягаря; тягарю; тягар; тягарем; 
хаотичний стрибок; хаотичного стрибку; хаотичному стрибку; хаотичний стрибок; хаотичним стрибком; 
телепортація уламків; телепортації уламків; телепортації уламків; телепортацію уламків; телепортацією уламків; 
скидання пси-напруги; скидання пси-напруги; скиданню пси-напруги; скидання пси-напруги; скиданням пси-напруги; 
далекий стрибок; далекого стрибка; далекому стрибку; далекий стрибок; далеким стрибком; 
виклик грозового шторму; виклику грозового шторму; виклику грозового шторму; виклик грозового шторму; викликом грозового шторму; 
зосередженість; зосередженості; зосередженості; зосередженість; зосередженістю; 
невидимість; невидимості; невидимості; невидимість; невидимістю; 
хвиля агресії; хвилі агресії; хвилі агресії; хвилю агресії; хвилею агресії; 
масовий хаотичний стрибок; масового хаотичного стрибка; масовому хаотичному стрибку; масовий хаотичний стрибок; масовим хаотичним стрибком; 
нейрошторм; нейрошторму; нейрошторму; нейрошторм; нейроштормом; 
блокада болю; блокади болю; блокаді болю; блокаду болю; блокадою болю; 
стрибок; стрибку; стрибку; стрибок; стрибком; 
пилова курява; пилової куряви; пиловій куряві; пилову куряву; пиловою курявою; 
сонячна щілина; сонячної щілини; сонячній щілині; сонячну щілину; сонячною щілиною; 
промова з трону; промови з трону; промови з трону; промову з трону; промовою з трону; 
приголомшення; приголомшення; приголомшенню; приголомшення; приголомшенням; 
хвиля запаморочення; хвилі запаморочення; хвилі запаморочення; хвилю запаморочення; хвилею запаморочення; 
стіна з надр; стіни з надр; стіні з надр; стіну з надр; стіною з надр; 
водна хвиля; водної хвиля; водній хвилі; водну хвилю; водною хвилею; 
слово натхнення; слова натхнення; слову натхнення; слово натхнення; словом натхнення; 
слово щастя; слова щастя; слову щастя; слово щастя; словом щастя; 
слово кохання; слова кохання; слову кохання; слово кохання; словом кохання; 
слово безтурботності; слова безтурботності; слову безтурботності; слово безтурботності; словом безтурботності; 
слово довіри; слова довіри; слово довіри; слову довіри; словом довіри; 

//FactionDef

Вищий Стелларх; Вищого Стелларха; Вищому Стелларху; Вищого Стелларха; Вищим Стеллархом; 
імперець; імперця; імперцю; імперця; імперцем; 
імперці; імперців; імперцям; імперців; імперцями; 

лідер; лідера; лідеру; лідера; лідером; 

// HediffDef

психічне пригнічення; психічного пригнічення; психічному пригніченню; психічне пригнічення; психічним пригніченням; 

психічний гармонізатор; психічного гармонізатора; психічному гармонізатору; психічний гармонізатор; психічним гармонізатором; 
психічний зчитувач; психічного зчитувача; психічному зчитувачу; психічний зчитувач; психічним зчитувачем; 
психічний сенсибілізатор; психічного сенсибілізатора; психічному сенсибілізатору; психічний сенсибілізатор; психічним сенсибілізатором; 

естетичний ніс; естетичного носа; естетичному ному; естетичний ніс; естетичним носом; 
коректор фігури; коректора фігури; коректору фігури; коректор фігури; коректором фігури; 
залоза бронешкіри; залози бронешкіри; залозі бронешкіри; залозу бронешкіри; залозою бронешкіри; 
циркадний помічник; циркадного помічника; циркадному помічнику; циркадний помічник; циркадним помічником; 
циркадний дільник; циркадного дільника; циркадному дільнику; циркадний дільник; циркадним дільником; 
коагулятор; коагулятора; коагулятору; коагулятор; коагулятором; 
детоксикуючий шлунок; детоксикуючого шлунка; детоксикуючому шлунку; детоксикуючий шлунок; детоксикуючим шлунком; 
гастроаналізатор; гастроаналізатора; гастроаналізатору; гастроаналізатор; гастроаналізатором; 
імплант зцілення; імпланту зцілення; імпланту зцілення; імплант зцілення; імплантом зцілення; 
імунізатор; імунізатора; імунізатору; імунізатор; імунізатором; 
когнітивний стимулятор; когнітивного стимулятора; когнітивному стимулятору; когнітивний стимулятор; когнітивним стимулятором; 
підсилювач кохання; підсилювача кохання; підсилювачу кохання; підсилювач кохання; підсилювачем кохання; 
нейрокалькулятор; нейрокалькулятора; нейрокалькулятору; нейрокалькулятор; нейрокалькулятором; 
ядерний шлунок; ядерного шлунка; ядерному шлунку; ядерний шлунок; ядерним шлунком; 
шлунок повторної обробки; шлунка повторної обробки; шлунку повторної обробки; шлунок повторної обробки; шлунком повторної обробки; 
залоза кам'яної шкіри; залози кам'яної шкіри; залозі кам'яної шкіри; залозу кам'яної шкіри; залозою кам'яної шкіри; 
залоза твердої шкіри; залози твердої шкіри; залозі твердої шкіри; залозу твердої шкіри; залозою твердої шкіри; 

рука-бур; руки-бура; руці-буру; руку-бур; рукою-буром; 
бур; бура; буру; бур; буром; 
ліктьове лезо; ліктьового леза; ліктьовому лезу; ліктьове лезо; ліктьовим лезом; 
агрорука; агроруки; агроруці; агроруку; агрорукою; 
кистьовий кіготь; кистьового кігтя; кистьовому кігтю; кистьовий кіготь; кистьовим кігтем; 
кіготь; кігтя; кігтю; кіготь; кігтем; 
колінний шип; колінного шипа; колінному шипу; колінний шип; колінним шипом; 
шип; шипа; шипу; шип; шипом; 
мозкоріз; мозкоріза; мозкорізу; мозкоріз; мозкорізом; 
отруйні ікла; отруйних ікл; отруйним іклам; отруйні ікла; отруйними іклами; 
отруйний кіготь; отруйного кігтя; отруйному кігтю; отруйний кіготь; отруйним кігтем; 

абазія; абазії; абазії; абазію; абазією; 
гниття крові; гниття крові; гниттю крові; гниття крові; гниттям крові; 

ентропійний зв'язок; ентропійного зв'язку; ентропійному зв'язку; ентропійний зв'язок; ентропійним зв'язком; 
хвиля радості; хвилі радості; хвилі радості; хвилю радості; хвилею радості; 
психічна анестезія; психічної анестезії; психічній анестезії; психічну анестезію; психічною анестезією; 
психічна сліпота; психічної сліпоти; психічній сліпоті; психічну сліпоту; психічною сліпотою; 
пси-зрив; пси-зриву; пси-зриву; пси-зрив; пси-зривом; 
психічний тягар; психічного тягаря; психічному тягарю; психічний тягар; психічним тягарем; 
нейро-напруга; нейро-напруги; нейро-напрузі; нейро-напругу; нейро-напругою; 
пси-зосередженість; пси-зосередженості; пси-зосередженості; пси-зосередженість; пси-зосередженістю; 
психічна невидимість; психічної невидимості; психічній невидимості; психічну невидимість; психічною невидимістю; 
психічне кохання; психічного кохання; психічному коханню; психічне кохання; психічним коханням; 
психічне запаморочення; психічного запаморочення; психічному запамороченню; психічне запаморочення; психічним запамороченням; 

психічний голод; психічного голоду; психічному голоду; психічний голод; психічним голодом; 
пси-розсіювання нейро-напруги; пси-розсіювання нейро-напруги; пси-розсіюванню нейро-напруги; пси-розсіювання нейро-напруги; пси-розсіюванням нейро-напруги; 
психічне знеболення; психічного знеболення; психічному знеболенню; психічне знеболення; психічним знеболенням; 
психічне прискорення; психічного прискорення; психічному прискоренню; психічне прискорення; психічним прискоренням; 

// PawnKindDef

імперський робітник; імперського робітника; імперському робітнику; імперського робітника; імперським робітником; 
громадянин імперії; громадянина імперії; громадянину імперії; громадянина імперії; громадянином імперії; 
громадяни імперії; громадян імперії; громадянам імперії; громадян імперії; громадянами імперії; 
імперський торговець; імперського торговця; імперському торговцю; імперського торговця; імперським торговцем; 
імперські торговці; імперських торговців; імперським торговцям; імперських торговців; імперськими торговцями; 
катафрактарій; катафрактарія; катафрактарію; катафрактарія; катафрактарієм; 
катафрактарії; катафрактаріїв; катафрактаріям; катафрактаріїв; катафрактаріями; 
чемпіон; чемпіона; чемпіону; чемпіона; чемпіоном; 
чемпіони; чемпіонів; чемпіонам; чемпіонів; чемпіонами; 
імперський гренадер; імперського гренадера; імперському гренадеру; імперського гренадера; імперським гренадером; 
імперські гренадери; імперських гренадерів; імперським гренадерам; імперських гренадерів; імперськими гренадерами; 
яничар; яничара; яничару; яничара; яничаром; 
яничари; яничарів; яничарам; яничарів; яничарами; 
зоряний хранитель; зоряного хранителя; зоряному хранителю; зоряного хранителя; зоряними хранителями; 
зоряні хранителі; зоряних хранителів; зоряним хранителям; зоряних хранителів; зоряними хранителями; 
зоряний захисник; зоряного захисника; зоряному захиснику; зоряного захисника; зоряним захисником; 
зоряні захисники; зоряних захисників; зоряним захисникам; зоряних захисників; зоряними захисниками; 
піхотинець; піхотинця; піхотинцю; піхотинця; піхотинцями; 
піхотинці; піхотинців; піхотинцям; піхотинців; піхотинцями; 
аколіт; аколіта; аколіту; аколіта; аколітом; 
барон; барона; барону; барона; бароном; 
баронеса; баронеси; баронесі; баронесу; баронесою; 
емісар; емісара; емісару; емісара; емісаром; 
консул; консула; консулу; консула; консулом; 
граф; графа; графу; графа; графом; 
графиня; графині; графині; графиню; графинею; 
герцог; герцога; герцогу; герцога; герцогом; 
герцогиня; герцогині; герцогині; герцогиню; герцогинею; 
лицар; лицаря; лицарю; лицаря; лицарем; 
дама; дами; дамі; даму; дамою; 
дворянин; дворянина; дворянину; дворянина; дворянином; 
дворяни; дворян; дворянам; дворян; дворянами; 
претор; претора; претору; претора; претором; 
Стелларх; Стелларха; Стелларху; Стелларха; Стеллархом; 
йомен; йомена; йомену; йомена; йоменом; 

біженець; біженця; біженцю; біженця; біженцем; 
біженці; біженців; біженцям; біженців; біженцями; 

//ResearchProjectDef

катафрактарська броня; катафрактарської броні; катафрактарській броні; катафрактарську броню; катафрактарською бронею; 
стрілецькі візори; стрілецьких візорів; стрілецьким візорам; стрілецькі візори; стрілецькими візорами; 
